UID,Timestamp,IP Address,Browser,OS,Device,Login Result
9294,2025-05-08T14:43:48.559034,149.245.138.124,Firefox 113.0.1,Android 13,Mobile,True
1155,2025-05-12T18:39:06.718861,193.48.128.119,Firefox 112.0,Windows 11,Tablet,True
7661,2025-05-07T08:26:06.099078,101.212.115.144,Safari 15.6,macOS 13,Desktop,True
2608,2025-05-04T12:03:09.791301,159.120.131.226,Safari 16.3,iOS 16,Mobile,True
7358,2025-05-01T07:34:25.816449,211.105.73.112,Safari 16.4,macOS 13,Desktop,True
7485,2025-05-03T15:51:29.785777,152.214.72.16,Firefox 112.0,Android 13,Mobile,True
7655,2025-04-24T10:49:19.096826,200.64.249.114,Firefox 113.0.1,Windows 11,Desktop,True
8698,2025-05-07T06:03:52.003132,155.239.201.150,Safari 15.6,iOS 16,Tablet,True
1381,2025-05-21T06:57:06.585079,134.1.221.45,Firefox 114.0,Ubuntu 22.04,Desktop,True
2308,2025-05-10T03:02:09.299292,212.208.124.166,Chrome 115.0.5790.98,Windows 11,Desktop,True
7861,2025-05-17T19:09:12.249081,217.47.246.14,Edge 114.0.1823.67,Windows 11,Tablet,True
6794,2025-05-10T02:37:16.485555,204.49.253.9,Safari 15.6,iOS 16,Mobile,True
7826,2025-05-06T23:59:56.238943,92.7.26.105,Chrome 115.0.5790.98,Android 13,Mobile,True
2568,2025-05-10T13:10:12.396182,220.67.34.89,Safari 16.4,iOS 16,Mobile,True
4164,2025-05-02T02:07:26.953699,190.96.106.62,Chrome 113.0.0,Ubuntu 22.04,Desktop,True
5192,2025-05-08T11:00:05.972886,24.223.136.35,Firefox 113.0.1,Windows 11,Desktop,True
1855,2025-05-14T19:57:50.161884,7.138.242.237,Safari 16.4,iOS 16,Mobile,True
5586,2025-04-22T14:15:08.099629,198.141.131.108,Safari 16.4,iOS 16,Mobile,True
4563,2025-05-09T20:45:23.116650,220.23.112.183,Safari 16.3,iOS 16,Tablet,True
3666,2025-05-13T10:04:06.044371,98.58.11.86,Safari 16.4,macOS 13,Desktop,True
1193,2025-05-16T19:11:23.232372,131.170.51.108,Edge 113.0.1774.57,Android 13,Tablet,True
4050,2025-05-07T08:56:57.077600,58.21.91.2,Safari 15.6,macOS 13,Desktop,True
4391,2025-05-17T12:17:58.468023,203.67.31.48,Edge 114.0.1823.67,Windows 10,Desktop,True
177,2025-04-28T11:01:42.482171,143.168.248.20,Safari 16.3,iOS 16,Tablet,True
1566,2025-05-09T08:23:27.689014,223.147.68.70,Chrome 114.0.5735.91,Windows 11,Tablet,True
1665,2025-05-09T01:06:45.214679,195.58.232.124,Safari 15.6,iOS 16,Mobile,True
3179,2025-05-20T02:15:42.400146,215.156.15.130,Safari 16.4,iOS 16,Tablet,True
1058,2025-04-25T03:27:56.589089,190.110.93.192,Safari 16.4,iOS 16,Mobile,True
1476,2025-04-30T20:10:53.995612,132.246.226.129,Safari 15.6,iOS 16,Tablet,True
5079,2025-05-12T11:42:37.147321,131.70.84.166,Chrome 113.0.0,Windows 11,Desktop,True
548,2025-05-03T20:48:49.677203,216.230.231.83,Safari 16.4,macOS 13,Desktop,True
6943,2025-04-26T14:23:16.331333,217.85.190.144,Edge 113.0.1774.57,Android 13,Tablet,True
7210,2025-05-16T09:07:32.016474,115.232.39.161,Safari 15.6,iOS 16,Mobile,True
3560,2025-05-02T12:48:38.654642,74.60.80.187,Edge 114.0.1823.67,Android 13,Mobile,True
655,2025-05-01T18:41:30.261896,198.179.120.6,Safari 16.4,iOS 16,Tablet,True
5664,2025-04-26T08:02:50.378058,141.60.189.30,Edge 114.0.1823.67,Windows 11,Tablet,True
4492,2025-04-22T02:48:26.430763,213.175.2.8,Safari 16.3,iOS 16,Mobile,True
837,2025-05-19T12:54:02.982034,148.55.94.6,Firefox 114.0,Ubuntu 22.04,Desktop,True
1426,2025-05-21T05:13:27.972608,15.72.245.47,Safari 16.3,iOS 16,Tablet,True
1408,2025-04-24T17:47:11.510436,214.176.22.37,Firefox 114.0,Android 13,Tablet,True
