uid,timestamp,ip_address,browser,os,device,login_result
26415,2025-05-02T23:08:34.100948,54.3.79.67,Safari 16.3,iOS 16,Tablet,True
34575,2025-05-16T07:07:26.928293,130.218.246.129,Safari 16.3,macOS 13,Desktop,True
51286,2025-05-18T13:03:01.561390,75.8.136.3,Safari 16.4,iOS 16,Mobile,True
92637,2025-05-02T19:38:48.263104,223.169.175.149,Firefox 114.0,Android 13,Tablet,True
13774,2025-05-09T10:03:27.453428,146.113.83.8,Firefox 113.0.1,Ubuntu 22.04,Desktop,True
56280,2025-05-24T04:10:22.131514,204.34.12.250,Firefox 114.0,Android 13,Mobile,True
67182,2025-04-30T04:27:06.473779,201.62.31.173,Chrome 113.0.0,Windows 11,Desktop,True
48448,2025-05-14T15:45:37.075685,204.114.223.195,Safari 16.3,iOS 16,Mobile,True
95995,2025-05-09T00:41:27.845501,164.185.185.3,Edge 114.0.1823.67,Windows 11,Desktop,True
6432,2025-05-27T01:50:07.850396,168.209.114.99,Chrome 113.0.0,Android 13,Mobile,True
36555,2025-05-16T05:13:21.553216,213.6.34.224,Chrome 113.0.0,Android 13,Mobile,True
24982,2025-05-09T15:19:24.312737,197.191.145.139,Edge 113.0.1774.57,Android 13,Tablet,True
41439,2025-05-14T11:19:40.705758,23.174.41.246,Safari 16.4,iOS 16,Tablet,True
51238,2025-05-14T09:44:14.805704,212.44.241.21,Firefox 114.0,Android 13,Tablet,True
79598,2025-05-21T21:37:22.032576,134.160.149.26,Firefox 112.0,Ubuntu 22.04,Desktop,True
97449,2025-05-16T11:36:25.819347,125.213.222.1,Edge 114.0.1823.67,Windows 10,Desktop,True
30722,2025-05-03T11:48:08.707108,198.219.205.99,Edge 114.0.1823.67,Windows 11,Tablet,True
42769,2025-05-07T23:01:59.758734,196.186.122.180,Edge 114.0.1823.67,Windows 11,Tablet,True
91618,2025-05-08T22:36:19.348248,90.29.172.39,Chrome 115.0.5790.98,Android 13,Mobile,True
28838,2025-05-12T05:32:55.098236,15.172.241.182,Firefox 114.0,Android 13,Tablet,True
57475,2025-05-03T14:00:20.814400,194.1.143.178,Chrome 115.0.5790.98,Android 13,Tablet,True
51971,2025-05-22T10:00:53.248217,215.24.131.219,Edge 114.0.1823.67,Windows 10,Desktop,True
17166,2025-05-13T06:32:39.334094,214.90.153.97,Firefox 112.0,Ubuntu 22.04,Desktop,True
44241,2025-05-17T08:32:31.900005,5.55.81.161,Firefox 112.0,Android 13,Tablet,True
2088,2025-05-28T13:32:26.945842,223.249.21.18,Safari 16.4,iOS 16,Tablet,True
65613,2025-05-07T04:26:55.126334,137.102.124.227,Edge 114.0.1823.67,Android 13,Mobile,True
59642,2025-05-16T11:31:44.500076,134.203.0.248,Chrome 114.0.5735.91,Android 13,Mobile,True
92546,2025-04-29T22:38:01.208597,177.26.168.91,Edge 113.0.1774.57,Android 13,Tablet,True
80033,2025-05-11T14:21:33.622923,196.166.70.32,Safari 16.4,iOS 16,Tablet,True
54407,2025-05-23T16:56:41.783060,180.36.76.106,Safari 16.3,macOS 13,Desktop,True
26805,2025-05-02T19:41:17.223686,150.201.252.49,Chrome 115.0.5790.98,Android 13,Tablet,True
62592,2025-05-08T09:16:53.316576,99.53.105.124,Chrome 113.0.0,Windows 11,Tablet,True
92993,2025-05-27T09:34:10.045561,163.28.251.76,Safari 16.4,iOS 16,Mobile,True
42869,2025-05-24T17:35:36.756224,133.58.70.155,Safari 15.6,iOS 16,Tablet,True
68962,2025-05-09T04:55:48.804188,220.95.225.110,Safari 16.3,iOS 16,Mobile,True
59511,2025-05-13T18:12:35.176201,204.121.66.47,Safari 15.6,iOS 16,Tablet,True
66954,2025-05-05T13:22:25.798639,162.202.6.169,Chrome 113.0.0,Windows 11,Desktop,True
8281,2025-05-03T13:38:47.586930,42.70.112.139,Chrome 114.0.5735.91,Android 13,Mobile,True
87312,2025-05-28T05:36:41.578007,222.228.102.161,Chrome 115.0.5790.98,Android 13,Mobile,True
99882,2025-05-09T13:11:17.748927,198.119.66.250,Firefox 113.0.1,Ubuntu 22.04,Desktop,True
46567,2025-04-29T15:55:55.376312,136.178.78.66,Firefox 113.0.1,Android 13,Mobile,True
81057,2025-05-03T20:45:06.357199,212.214.206.11,Safari 15.6,macOS 13,Desktop,True
25694,2025-05-20T12:20:10.500038,85.76.115.203,Edge 113.0.1774.57,Android 13,Mobile,True
87565,2025-05-23T13:49:58.637043,180.155.60.55,Firefox 114.0,Android 13,Tablet,True
78620,2025-05-04T01:26:40.164959,112.168.55.92,Safari 15.6,iOS 16,Mobile,True
40658,2025-05-20T11:07:37.322734,210.135.227.33,Edge 113.0.1774.57,Android 13,Tablet,True
15221,2025-05-14T16:40:13.486424,211.210.9.18,Firefox 114.0,Ubuntu 22.04,Desktop,True
23862,2025-05-07T10:23:58.946253,194.222.158.88,Safari 16.3,iOS 16,Mobile,True
87111,2025-05-05T12:44:02.937747,181.115.208.63,Safari 16.4,macOS 13,Desktop,True
31677,2025-05-09T21:50:51.796102,200.151.239.0,Safari 15.6,macOS 13,Desktop,True
64289,2025-05-16T14:04:12.393203,197.115.127.220,Safari 16.4,iOS 16,Tablet,True
5249,2025-05-08T05:58:24.089052,199.241.217.145,Chrome 114.0.5735.91,Windows 10,Desktop,True
52347,2025-05-10T11:11:16.244178,198.125.100.23,Safari 15.6,iOS 16,Tablet,True
52120,2025-05-23T00:16:56.246141,110.168.65.58,Safari 16.4,macOS 13,Desktop,True
6019,2025-05-13T04:33:41.149066,119.241.169.34,Edge 114.0.1823.67,Windows 11,Tablet,True
16287,2025-05-21T14:57:22.231722,43.166.112.253,Safari 16.3,macOS 13,Desktop,True
19732,2025-05-22T20:40:13.702327,211.59.195.221,Safari 16.4,iOS 16,Tablet,True
97441,2025-05-22T11:11:33.605778,196.101.214.89,Firefox 112.0,Android 13,Tablet,True
46352,2025-05-01T17:46:55.973352,140.60.242.126,Edge 113.0.1774.57,Windows 10,Desktop,True
37486,2025-05-09T10:38:35.632144,80.185.230.178,Edge 113.0.1774.57,Android 13,Mobile,True
71721,2025-05-24T14:04:59.387605,179.96.31.173,Safari 16.3,iOS 16,Tablet,True
45486,2025-04-29T17:36:54.378469,151.187.194.203,Safari 16.3,macOS 13,Desktop,True
89516,2025-05-10T22:29:29.731776,33.44.165.100,Firefox 112.0,Android 13,Mobile,True
54735,2025-05-21T10:57:58.148592,202.132.153.224,Edge 114.0.1823.67,Android 13,Tablet,True
70074,2025-05-25T08:06:00.962640,128.158.175.175,Safari 16.4,iOS 16,Mobile,True
14590,2025-05-06T12:40:05.739341,200.170.91.232,Edge 113.0.1774.57,Windows 10,Desktop,True
92062,2025-05-20T06:49:02.981364,222.108.174.90,Firefox 114.0,Android 13,Mobile,True
89607,2025-05-15T07:07:45.739794,216.78.22.113,Safari 16.3,iOS 16,Tablet,True
24793,2025-04-29T05:21:20.454387,97.27.183.216,Edge 114.0.1823.67,Android 13,Mobile,True
3710,2025-05-20T06:36:44.116094,51.73.62.101,Chrome 114.0.5735.91,Android 13,Tablet,True
11033,2025-05-23T07:09:45.343628,61.127.92.94,Safari 16.4,iOS 16,Mobile,True
66739,2025-05-23T16:00:06.829302,96.58.8.19,Firefox 113.0.1,Windows 11,Tablet,True
48879,2025-05-07T23:49:01.187834,222.107.45.95,Edge 114.0.1823.67,Windows 11,Tablet,True
61104,2025-05-26T13:07:20.344440,219.194.17.128,Edge 114.0.1823.67,Android 13,Tablet,True
45344,2025-05-13T12:03:38.240067,23.30.215.176,Edge 114.0.1823.67,Android 13,Mobile,True
54584,2025-05-20T02:41:37.875851,169.79.161.59,Firefox 114.0,Android 13,Mobile,True
67427,2025-05-07T09:58:36.478449,129.186.4.250,Firefox 114.0,Windows 11,Tablet,True
5370,2025-05-22T10:00:05.959576,151.109.72.185,Firefox 114.0,Android 13,Tablet,True
83176,2025-05-12T12:36:13.068463,51.66.95.245,Safari 16.3,iOS 16,Tablet,True
53911,2025-05-10T14:27:47.805226,41.9.147.231,Chrome 115.0.5790.98,Windows 11,Tablet,True
86145,2025-05-11T03:55:49.929791,204.150.86.11,Edge 114.0.1823.67,Windows 11,Tablet,True
12261,2025-05-26T01:49:09.273120,206.71.185.59,Chrome 113.0.0,Windows 11,Desktop,True
32119,2025-05-02T06:07:44.807453,105.65.152.197,Edge 114.0.1823.67,Android 13,Tablet,True
21630,2025-05-10T18:38:53.945442,205.170.197.248,Safari 15.6,iOS 16,Mobile,True
14174,2025-05-10T21:38:08.283171,162.250.50.245,Safari 16.3,iOS 16,Mobile,True
31652,2025-05-10T14:53:46.572245,144.82.129.194,Edge 113.0.1774.57,Android 13,Tablet,True
57530,2025-05-12T05:32:30.387444,111.205.192.26,Firefox 113.0.1,Ubuntu 22.04,Desktop,True
26683,2025-05-04T19:15:35.235066,213.157.211.42,Edge 113.0.1774.57,Windows 10,Desktop,True
75620,2025-05-25T03:56:44.484826,104.173.72.49,Chrome 113.0.0,Windows 11,Desktop,True
42526,2025-04-30T13:20:59.190991,177.170.103.147,Chrome 114.0.5735.91,Windows 11,Tablet,True
24576,2025-05-26T05:57:38.893513,206.148.18.226,Safari 16.4,macOS 13,Desktop,True
66280,2025-05-14T12:36:23.076531,141.161.146.64,Firefox 114.0,Ubuntu 22.04,Desktop,True
12572,2025-05-07T22:03:51.391707,183.90.71.105,Safari 15.6,iOS 16,Tablet,True
28788,2025-05-04T02:13:31.133438,11.158.59.175,Chrome 114.0.5735.91,Windows 11,Tablet,True
46365,2025-05-21T11:38:56.378496,69.109.194.17,Firefox 113.0.1,Windows 11,Tablet,True
88275,2025-04-30T03:26:58.222982,207.161.175.44,Firefox 114.0,Windows 10,Desktop,True
78231,2025-05-07T05:00:08.227143,195.58.169.186,Edge 114.0.1823.67,Windows 11,Desktop,True
56409,2025-05-11T23:59:22.939224,176.81.191.199,Edge 113.0.1774.57,Android 13,Tablet,True
75694,2025-05-17T04:12:42.538193,6.247.44.61,Safari 16.3,iOS 16,Tablet,True
82286,2025-05-15T10:40:43.425531,207.45.122.1,Edge 114.0.1823.67,Android 13,Mobile,True
15150,2025-05-25T09:02:16.788829,182.153.254.194,Safari 15.6,iOS 16,Mobile,True
85464,2025-05-03T17:21:34.069631,194.217.207.204,Firefox 114.0,Ubuntu 22.04,Desktop,True
88983,2025-05-08T00:26:03.941641,152.3.27.227,Safari 16.4,iOS 16,Tablet,True
62545,2025-05-08T16:03:30.923667,43.122.136.219,Chrome 113.0.0,Windows 11,Desktop,True
60237,2025-05-16T02:15:29.448365,27.164.167.187,Edge 113.0.1774.57,Windows 11,Tablet,True
5194,2025-05-13T15:09:38.951797,210.235.44.89,Safari 15.6,iOS 16,Tablet,True
60001,2025-04-28T17:27:19.603926,177.90.26.142,Edge 114.0.1823.67,Windows 11,Tablet,True
66945,2025-04-30T06:00:00.058351,174.34.249.243,Safari 15.6,iOS 16,Tablet,True
30841,2025-05-12T00:19:27.185193,52.22.21.246,Edge 114.0.1823.67,Windows 11,Desktop,True
4050,2025-05-01T01:40:23.851739,158.180.218.52,Chrome 114.0.5735.91,Android 13,Tablet,True
20544,2025-05-08T04:49:20.555804,205.105.19.181,Chrome 115.0.5790.98,Windows 11,Tablet,True
12048,2025-05-14T14:04:18.656777,210.11.217.200,Chrome 114.0.5735.91,Android 13,Tablet,True
13577,2025-05-10T12:13:44.230489,201.104.76.122,Safari 16.3,iOS 16,Tablet,True
36300,2025-05-18T08:34:09.885525,169.172.36.67,Firefox 114.0,Android 13,Tablet,True
21698,2025-05-25T12:20:32.663386,183.4.171.161,Chrome 115.0.5790.98,Android 13,Mobile,True
55701,2025-05-16T07:21:23.907122,27.120.190.94,Edge 113.0.1774.57,Ubuntu 22.04,Desktop,True
3924,2025-05-07T19:52:52.674984,78.2.35.251,Safari 15.6,macOS 13,Desktop,True
96250,2025-05-05T22:49:39.592247,134.125.221.19,Safari 15.6,macOS 13,Desktop,True
37230,2025-05-25T22:03:51.691123,152.44.127.254,Safari 16.3,macOS 13,Desktop,True
61446,2025-05-14T10:44:04.470145,115.79.204.150,Safari 16.4,iOS 16,Mobile,True
89870,2025-05-25T00:34:18.696469,94.190.244.184,Firefox 112.0,Windows 11,Desktop,True
63685,2025-05-01T01:47:02.070762,212.148.160.222,Chrome 114.0.5735.91,Android 13,Mobile,True
64240,2025-05-02T09:20:33.875876,125.156.48.102,Firefox 113.0.1,Android 13,Mobile,True
76098,2025-05-20T12:17:05.347567,212.195.66.69,Safari 16.3,iOS 16,Tablet,True
59405,2025-05-20T22:35:34.469232,130.126.138.138,Firefox 113.0.1,Android 13,Mobile,True
19848,2025-05-21T18:42:19.475621,64.232.123.141,Chrome 114.0.5735.91,Android 13,Mobile,True
19217,2025-05-10T14:29:19.107931,154.71.234.149,Edge 114.0.1823.67,Windows 11,Desktop,True
13208,2025-05-01T13:50:19.912548,220.243.40.126,Edge 113.0.1774.57,Ubuntu 22.04,Desktop,True
79806,2025-05-13T12:09:15.572412,109.138.128.147,Safari 16.4,iOS 16,Tablet,True
51134,2025-05-27T15:39:30.769318,77.63.76.61,Edge 113.0.1774.57,Android 13,Mobile,True
50282,2025-05-15T04:51:12.501888,64.158.11.134,Safari 15.6,iOS 16,Mobile,False
528,2025-05-07T07:45:07.508420,15.99.95.54,Chrome 115.0.5790.98,Windows 10,Desktop,True
93735,2025-05-18T01:32:06.565147,204.206.115.115,Edge 113.0.1774.57,Android 13,Mobile,True
29117,2025-05-02T21:14:09.217629,41.214.190.10,Safari 16.3,iOS 16,Tablet,True
95659,2025-05-06T23:36:15.304180,140.181.136.253,Safari 16.4,iOS 16,Mobile,True
60742,2025-05-09T23:25:31.545685,200.95.47.219,Edge 114.0.1823.67,Windows 11,Desktop,True
16915,2025-04-29T00:24:12.551731,221.112.16.24,Edge 113.0.1774.57,Android 13,Mobile,True
84596,2025-04-30T22:08:21.482205,84.61.249.52,Chrome 114.0.5735.91,Windows 11,Tablet,True
12390,2025-05-02T01:19:28.318767,115.62.164.167,Chrome 113.0.0,Windows 11,Desktop,True
30650,2025-05-15T18:28:11.651975,207.222.59.200,Safari 16.3,iOS 16,Mobile,True
79236,2025-05-06T00:23:55.704268,56.204.51.213,Safari 15.6,iOS 16,Mobile,True
42125,2025-05-16T03:19:01.637140,18.92.91.143,Chrome 113.0.0,Windows 11,Tablet,True
41462,2025-05-02T08:39:27.754830,9.230.149.128,Edge 113.0.1774.57,Ubuntu 22.04,Desktop,True
16419,2025-05-12T02:20:10.211335,103.235.91.155,Safari 15.6,iOS 16,Mobile,True
84024,2025-05-05T18:11:43.996652,220.92.179.97,Chrome 115.0.5790.98,Android 13,Mobile,True
83142,2025-05-09T12:49:13.669790,206.243.56.109,Edge 114.0.1823.67,Windows 11,Tablet,True
47412,2025-05-28T14:00:23.110601,215.148.164.0,Chrome 115.0.5790.98,Android 13,Mobile,True
56820,2025-05-12T08:07:40.293533,25.139.167.233,Safari 16.3,iOS 16,Tablet,True
62733,2025-05-18T22:40:36.497254,35.215.12.41,Chrome 115.0.5790.98,Windows 11,Tablet,True
87795,2025-05-10T13:23:34.110042,148.233.169.205,Firefox 112.0,Ubuntu 22.04,Desktop,True
29031,2025-05-06T06:08:47.694758,159.70.239.210,Firefox 113.0.1,Android 13,Mobile,True
76333,2025-05-11T09:10:09.730120,132.66.179.223,Firefox 112.0,Ubuntu 22.04,Desktop,True
81932,2025-05-13T06:41:24.300965,24.34.168.206,Safari 16.3,iOS 16,Tablet,True
84712,2025-05-18T23:33:39.844257,201.76.233.215,Edge 114.0.1823.67,Ubuntu 22.04,Desktop,True
63636,2025-05-06T22:19:39.602474,215.169.18.96,Firefox 112.0,Windows 11,Desktop,True
55462,2025-05-06T01:47:27.218795,196.137.216.246,Edge 113.0.1774.57,Android 13,Mobile,True
54780,2025-05-03T07:45:45.605984,201.9.27.91,Edge 113.0.1774.57,Windows 10,Desktop,True
24937,2025-05-26T20:11:53.375299,47.244.158.173,Chrome 113.0.0,Windows 11,Tablet,True
96130,2025-05-04T13:16:00.086180,187.224.189.56,Safari 16.3,macOS 13,Desktop,True
93622,2025-05-13T04:24:25.824194,168.74.146.80,Firefox 114.0,Android 13,Tablet,True
20948,2025-05-17T02:43:19.559528,108.125.238.9,Chrome 113.0.0,Android 13,Tablet,True
80142,2025-05-26T07:50:24.436843,91.104.34.173,Edge 113.0.1774.57,Windows 11,Desktop,True
47288,2025-05-07T20:58:04.967282,198.48.34.170,Safari 15.6,iOS 16,Tablet,True
62592,2025-05-17T21:05:40.480712,217.192.74.37,Firefox 114.0,Windows 11,Desktop,True
98244,2025-05-07T17:28:12.124107,192.35.184.176,Safari 16.3,iOS 16,Mobile,True
22588,2025-05-03T12:40:08.289594,154.214.184.144,Safari 16.4,iOS 16,Tablet,True
13311,2025-05-25T10:36:05.718826,114.138.159.2,Safari 16.3,macOS 13,Desktop,True
25609,2025-05-12T16:53:44.054695,107.213.13.186,Safari 15.6,macOS 13,Desktop,True
74824,2025-05-20T23:26:51.317503,53.145.36.123,Safari 16.4,iOS 16,Mobile,True
63504,2025-04-29T19:47:20.186160,114.156.45.115,Edge 113.0.1774.57,Android 13,Tablet,True
52237,2025-04-30T11:15:18.858905,139.7.184.140,Firefox 113.0.1,Android 13,Tablet,True
1916,2025-05-19T14:41:39.937572,128.235.88.65,Safari 16.3,iOS 16,Tablet,True
99190,2025-05-02T16:00:13.661849,52.215.190.143,Chrome 114.0.5735.91,Android 13,Tablet,True
83138,2025-05-26T06:48:48.103682,213.180.68.106,Chrome 113.0.0,Android 13,Tablet,True
33680,2025-04-30T07:31:12.919058,77.88.73.35,Safari 16.4,iOS 16,Mobile,True
69614,2025-05-10T02:13:01.238757,154.93.62.219,Safari 16.4,macOS 13,Desktop,True
89904,2025-05-12T03:36:43.023936,206.14.42.143,Firefox 112.0,Ubuntu 22.04,Desktop,True
17364,2025-05-05T14:42:06.233060,214.245.225.193,Chrome 115.0.5790.98,Ubuntu 22.04,Desktop,True
24455,2025-05-19T20:22:30.590889,207.153.3.157,Firefox 113.0.1,Ubuntu 22.04,Desktop,True
50096,2025-04-30T06:06:31.568005,79.213.37.239,Chrome 114.0.5735.91,Android 13,Mobile,True
233,2025-05-26T14:57:32.939193,216.33.171.125,Safari 16.3,iOS 16,Tablet,True
22139,2025-05-18T14:54:48.172809,17.123.208.223,Firefox 113.0.1,Android 13,Tablet,True
52802,2025-05-23T12:39:48.411170,42.148.67.22,Firefox 114.0,Android 13,Tablet,True
20133,2025-05-16T11:42:44.826235,146.25.236.200,Chrome 113.0.0,Windows 11,Desktop,True
9983,2025-05-08T10:07:47.956570,53.102.95.46,Safari 16.3,iOS 16,Mobile,True
1905,2025-05-09T16:22:48.771611,197.38.139.162,Edge 113.0.1774.57,Windows 11,Desktop,True
22005,2025-05-12T17:03:48.649619,187.137.111.207,Firefox 112.0,Ubuntu 22.04,Desktop,True
18364,2025-05-13T12:44:00.455298,210.161.254.139,Safari 16.4,iOS 16,Mobile,True
87168,2025-05-16T21:11:47.772358,202.169.185.100,Chrome 114.0.5735.91,Ubuntu 22.04,Desktop,True
83929,2025-05-08T21:21:30.908442,194.212.72.101,Firefox 113.0.1,Android 13,Tablet,True
8683,2025-05-06T06:44:30.777982,12.156.48.238,Safari 15.6,iOS 16,Mobile,True
60910,2025-05-07T00:12:27.572075,117.123.87.237,Safari 16.3,iOS 16,Tablet,True
70940,2025-05-05T16:51:48.460579,197.117.32.145,Safari 15.6,macOS 13,Desktop,True
8520,2025-05-24T11:40:53.642564,53.51.72.172,Safari 15.6,iOS 16,Mobile,True
57770,2025-05-17T14:06:23.054412,207.148.186.27,Firefox 114.0,Windows 10,Desktop,True
76485,2025-05-22T07:15:41.046463,170.16.119.219,Safari 15.6,macOS 13,Desktop,True
62224,2025-05-05T14:59:31.104223,138.59.168.218,Firefox 113.0.1,Ubuntu 22.04,Desktop,True
43128,2025-05-17T01:36:46.180385,201.207.18.245,Firefox 113.0.1,Android 13,Mobile,True
14253,2025-05-24T20:09:27.285394,130.120.135.77,Safari 16.4,macOS 13,Desktop,True
57282,2025-05-04T14:34:09.950024,19.194.132.20,Safari 15.6,iOS 16,Mobile,True
75981,2025-05-07T07:30:54.011744,200.23.157.106,Safari 15.6,iOS 16,Mobile,True
13938,2025-05-19T09:19:50.272386,175.252.72.41,Firefox 113.0.1,Android 13,Mobile,True
44178,2025-05-09T12:47:05.389242,202.88.119.96,Chrome 113.0.0,Windows 11,Desktop,True
40874,2025-05-03T03:58:41.864671,54.134.209.222,Firefox 112.0,Windows 11,Tablet,True
29267,2025-05-02T21:03:30.558772,64.12.117.44,Safari 16.4,iOS 16,Tablet,True
48838,2025-05-10T17:04:16.639155,171.129.2.215,Edge 113.0.1774.57,Windows 11,Tablet,True
39908,2025-05-27T06:28:05.763981,172.64.121.67,Firefox 114.0,Android 13,Mobile,True
6037,2025-05-21T21:03:03.796362,139.53.61.182,Chrome 113.0.0,Windows 11,Desktop,True
37203,2025-05-03T17:07:33.866103,179.66.246.53,Safari 15.6,iOS 16,Tablet,True
57379,2025-05-17T08:30:00.001114,199.254.11.176,Firefox 114.0,Windows 11,Tablet,True
3149,2025-04-29T18:29:22.155214,134.227.218.156,Edge 114.0.1823.67,Windows 10,Desktop,True
1212,2025-04-30T16:03:02.649647,122.204.30.211,Chrome 113.0.0,Android 13,Tablet,True
28664,2025-05-06T07:34:57.433280,134.34.215.149,Firefox 112.0,Android 13,Mobile,True
33564,2025-05-07T12:51:20.514918,135.52.127.146,Safari 15.6,macOS 13,Desktop,True
78302,2025-05-13T21:07:02.672742,163.119.58.108,Safari 16.3,iOS 16,Mobile,True
86170,2025-05-24T15:32:30.927059,131.211.145.6,Safari 16.4,macOS 13,Desktop,True
14666,2025-05-16T04:52:59.181304,219.184.106.196,Edge 114.0.1823.67,Windows 10,Desktop,True
14715,2025-05-24T21:35:32.070991,198.240.223.95,Edge 114.0.1823.67,Android 13,Mobile,True
58388,2025-05-05T03:29:36.925441,50.70.170.139,Safari 16.4,iOS 16,Mobile,True
92219,2025-05-14T12:42:03.589178,156.10.82.36,Safari 16.3,iOS 16,Tablet,True
45252,2025-05-25T07:13:57.375381,5.238.68.16,Safari 16.3,iOS 16,Tablet,True
21411,2025-05-20T08:01:10.282447,51.193.103.145,Safari 16.3,macOS 13,Desktop,True
49777,2025-05-19T20:51:33.420489,166.27.112.207,Firefox 113.0.1,Windows 11,Tablet,True
81337,2025-05-25T08:11:58.014592,100.155.106.238,Safari 15.6,iOS 16,Tablet,True
64313,2025-05-09T07:24:37.161284,156.229.3.130,Firefox 112.0,Windows 11,Desktop,True
3285,2025-05-11T15:11:00.222251,143.146.225.255,Edge 113.0.1774.57,Android 13,Mobile,True
96028,2025-05-09T14:36:39.284849,221.29.249.79,Safari 16.3,iOS 16,Mobile,True
33230,2025-05-04T07:01:22.744275,145.105.218.54,Firefox 112.0,Android 13,Mobile,True
61577,2025-05-07T02:51:49.149855,187.175.132.124,Chrome 114.0.5735.91,Android 13,Mobile,True
79100,2025-05-23T18:55:43.258718,201.172.104.144,Chrome 114.0.5735.91,Windows 11,Desktop,True
66078,2025-05-23T04:27:16.788192,17.207.76.33,Edge 113.0.1774.57,Windows 11,Tablet,True
49342,2025-05-19T20:06:09.706691,180.56.16.41,Chrome 114.0.5735.91,Android 13,Mobile,True
18151,2025-05-19T11:27:43.356437,220.85.202.38,Safari 15.6,iOS 16,Tablet,True
